what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1486156674476
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1486156674476
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1486156674517
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1486156674528
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1486156674533
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1486156674534
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1486156674534
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1486156674537
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1486156674543
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1486156674544
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1486156674545
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1486156674583
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1486156674605
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1486156674606
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1486156674606
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1486156674607
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1486156674607
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1486156674607
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1486156674608
os,sysinfo,,,"linux",1486156674610
arch,sysinfo,,,"x86",1486156674610
ws,sysinfo,,,"gtk",1486156674610
locale,sysinfo,,,"en_US",1486156674610
processors,sysinfo,,,"8",1486156674610
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486156674610
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1486156674610
java.specification.name,sysinfo,,,"Java Platform API Specification",1486156674610
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486156674610
java.specification.version,sysinfo,,,"1.6",1486156674610
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486156674610
java.version,sysinfo,,,"1.6.0_23",1486156674610
java.vm.info,sysinfo,,,"mixed mode",1486156674610
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1486156674610
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486156674610
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486156674610
java.vm.specification.version,sysinfo,,,"1.0",1486156674610
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1486156674610
java.vm.version,sysinfo,,,"19.0-b09",1486156674610
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1486156674937
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1486156678736
