what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1489276774072
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489276774072
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1489276774072
java.specification.name,sysinfo,,,"Java Platform API Specification",1489276774072
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489276774072
java.specification.version,sysinfo,,,"1.6",1489276774072
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1489276774072
java.version,sysinfo,,,"1.6.0_23",1489276774072
java.vm.info,sysinfo,,,"mixed mode",1489276774072
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1489276774072
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1489276774072
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489276774072
java.vm.specification.version,sysinfo,,,"1.0",1489276774072
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1489276774072
java.vm.version,sysinfo,,,"19.0-b09",1489276774072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489276774469
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1489276774848
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1489276774894
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489276776438
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1489276776672
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1489276776675
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1489276776676
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1489276776678
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1489276787050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489276791583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1489276792974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1489276792974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489276792984
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489276795353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1489276810240
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489276811193
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489276815451
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489276822544
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489276829007
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489276830496
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489276831749
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489276831813
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489276831822
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489276832706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1489276833155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1489276841220
