what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1488668303653
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1488668303653
java.specification.name,sysinfo,,,"Java Platform API Specification",1488668303653
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1488668303653
java.specification.version,sysinfo,,,"1.6",1488668303653
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1488668303653
java.version,sysinfo,,,"1.6.0_23",1488668303653
java.vm.info,sysinfo,,,"mixed mode",1488668303653
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1488668303653
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1488668303653
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1488668303653
java.vm.specification.version,sysinfo,,,"1.0",1488668303653
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1488668303653
java.vm.version,sysinfo,,,"19.0-b09",1488668303653
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1488668305507
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1488668493519
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1488668493677
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1488668493718
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1488668495726
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1488668495730
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1488668495731
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1488668495732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488668495771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488668497012
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488668498878
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488668498917
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1488668498926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488668501610
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488668505125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488668505137
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488668527703
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488668527741
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488668530463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488668531488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488668536707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488668541356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488669456749
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1488669466325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488669473070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488670239080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488670239970
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1488670241052
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488670241130
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1488670241541
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1488670241541
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1488670241542
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1488670241542
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1488670241542
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1488670241542
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1488670241542
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1488670241542
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1488670241542
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1488670241543
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1488670241543
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1488670241544
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1488670241544
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1488670241545
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1488670241545
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1488670241545
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1488670241546
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1488670241546
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1488670241547
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1488670241547
